seldonio/seldon-core,https://github.com/SeldonIO/seldon-core/blob/master/LICENSE,Apache License 2.0,,YES
googleapis/google-cloud-go,https://github.com/googleapis/google-cloud-go/blob/master/LICENSE,Apache License 2.0,,YES
census-ecosystem/opencensus-go-exporter-ocagent,https://github.com/census-ecosystem/opencensus-go-exporter-ocagent/blob/master/LICENSE,Apache License 2.0,,YES
census-ecosystem/opencensus-go-exporter-prometheus,https://github.com/census-ecosystem/opencensus-go-exporter-prometheus/blob/master/LICENSE,Apache License 2.0,,YES
Azure/azure-sdk-for-go,https://github.com/Azure/azure-sdk-for-go/blob/master/LICENSE,Apache License 2.0,,YES
Azure/go-ansiterm,https://github.com/Azure/go-ansiterm/blob/master/LICENSE,MIT License,,YES
Azure/go-autorest,https://github.com/Azure/go-autorest/blob/master/LICENSE,Apache License 2.0,,YES
BurntSushi/toml,https://github.com/BurntSushi/toml/blob/master/COPYING,MIT License,,YES
BurntSushi/xgb,https://github.com/BurntSushi/xgb/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
Knetic/govaluate,https://github.com/Knetic/govaluate/blob/master/LICENSE,MIT License,,YES
NYTimes/gziphandler,https://github.com/nytimes/gziphandler/blob/master/LICENSE,Apache License 2.0,,YES
PuerkitoBio/purell,https://github.com/PuerkitoBio/purell/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
PuerkitoBio/urlesc,https://github.com/PuerkitoBio/urlesc/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
Shopify/sarama,https://github.com/Shopify/sarama/blob/master/LICENSE,MIT License,,YES
Shopify/toxiproxy,https://github.com/Shopify/toxiproxy/blob/master/LICENSE,MIT License,,YES
VividCortex/gohistogram,https://github.com/VividCortex/gohistogram/blob/master/LICENSE,MIT License,,YES
afex/hystrix-go,https://github.com/afex/hystrix-go/blob/master/LICENSE,MIT License,,YES
agnivade/levenshtein,https://github.com/agnivade/levenshtein/blob/master/License.txt,MIT License,,YES
alecthomas/template,https://github.com/alecthomas/template/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
alecthomas/units,https://github.com/alecthomas/units/blob/master/COPYING,MIT License,,YES
andreyvit/diff,https://github.com/andreyvit/diff/blob/master/LICENSE,MIT License,,YES
apache/thrift,https://github.com/apache/thrift/blob/master/LICENSE,Apache License 2.0,,YES
armon/circbuf,https://github.com/armon/circbuf/blob/master/LICENSE,MIT License,,YES
armon/consul-api,https://github.com/armon/consul-api/blob/master/LICENSE,Mozilla Public License 2.0,,YES
armon/go-metrics,https://github.com/armon/go-metrics/blob/master/LICENSE,MIT License,,YES
armon/go-radix,https://github.com/armon/go-radix/blob/master/LICENSE,MIT License,,YES
aryann/difflib,https://github.com/aryann/difflib/blob/master/LICENSE,MIT License,,YES
asaskevich/govalidator,https://github.com/asaskevich/govalidator/blob/master/LICENSE,MIT License,,YES
aws/aws-lambda-go,https://github.com/aws/aws-lambda-go/blob/master/LICENSE,Apache License 2.0,,YES
aws/aws-sdk-go,https://github.com/aws/aws-sdk-go/blob/master/LICENSE.txt,Apache License 2.0,,YES
aws/aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2/blob/master/LICENSE.txt,Apache License 2.0,,YES
beorn7/perks,https://github.com/beorn7/perks/blob/master/LICENSE,MIT License,,YES
bgentry/speakeasy,https://github.com/bgentry/speakeasy/blob/master/LICENSE,MIT License,,YES
blang/semver,https://github.com/blang/semver/blob/master/LICENSE,MIT License,,YES
casbin/casbin,https://github.com/casbin/casbin/blob/master/LICENSE,Apache License 2.0,,YES
cenkalti/backoff,https://github.com/cenkalti/backoff/blob/v4/LICENSE,MIT License,,YES
census-instrumentation/opencensus-proto,https://github.com/census-instrumentation/opencensus-proto/blob/master/LICENSE,Apache License 2.0,,YES
cespare/xxhash,https://github.com/cespare/xxhash/blob/master/LICENSE.txt,MIT License,,YES
clbanning/x2j,https://github.com/clbanning/x2j/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
client9/misspell,https://github.com/client9/misspell/blob/master/LICENSE,MIT License,,YES
cloudevents/sdk-go,https://github.com/cloudevents/sdk-go/blob/master/LICENSE,Apache License 2.0,,YES
cncf/udpa,https://github.com/cncf/udpa/blob/master/LICENSE,Apache License 2.0,,YES
cockroachdb/datadriven,https://github.com/cockroachdb/datadriven/blob/master/LICENSE,Apache License 2.0,,YES
codahale/hdrhistogram,https://github.com/HdrHistogram/hdrhistogram-go/blob/master/LICENSE,MIT License,,YES
confluentinc/confluent-kafka-go,https://github.com/confluentinc/confluent-kafka-go/blob/master/LICENSE,Apache License 2.0,,YES
coreos/etcd,https://github.com/etcd-io/etcd/blob/master/LICENSE,Apache License 2.0,,YES
coreos/go-etcd,https://github.com/coreos/go-etcd/blob/master/LICENSE,Apache License 2.0,,YES
coreos/go-oidc,https://github.com/coreos/go-oidc/blob/v2/LICENSE,Apache License 2.0,,YES
coreos/go-semver,https://github.com/coreos/go-semver/blob/master/LICENSE,Apache License 2.0,,YES
coreos/go-systemd,https://github.com/coreos/go-systemd/blob/master/LICENSE,Apache License 2.0,,YES
coreos/pkg,https://github.com/coreos/pkg/blob/master/LICENSE,Apache License 2.0,,YES
cpuguy83/go-md2man,https://github.com/cpuguy83/go-md2man/blob/master/LICENSE.md,MIT License,,YES
creack/pty,https://github.com/creack/pty/blob/master/LICENSE,MIT License,,YES
davecgh/go-spew,https://github.com/davecgh/go-spew/blob/master/LICENSE,ISC License,,YES
dgrijalva/jwt-go,https://github.com/dgrijalva/jwt-go/blob/master/LICENSE,MIT License,,YES
docker/docker,https://github.com/moby/moby/blob/master/LICENSE,Apache License 2.0,,YES
docker/go-units,https://github.com/docker/go-units/blob/master/LICENSE,Apache License 2.0,,YES
docker/spdystream,https://github.com/docker/spdystream/blob/master/LICENSE,Apache License 2.0,,YES
docopt/docopt-go,https://github.com/docopt/docopt.go/blob/master/LICENSE,MIT License,,YES
dustin/go-humanize,https://github.com/dustin/go-humanize/blob/master/LICENSE,MIT License,,YES
eapache/go-resiliency,https://github.com/eapache/go-resiliency/blob/master/LICENSE,MIT License,,YES
eapache/go-xerial-snappy,https://github.com/eapache/go-xerial-snappy/blob/master/LICENSE,MIT License,,YES
eapache/queue,https://github.com/eapache/queue/blob/master/LICENSE,MIT License,,YES
edsrzf/mmap-go,https://github.com/edsrzf/mmap-go/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
elazarl/goproxy,https://github.com/elazarl/goproxy/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
emicklei/go-restful,https://github.com/emicklei/go-restful/blob/master/LICENSE,MIT License,,YES
envoyproxy/go-control-plane,https://github.com/envoyproxy/go-control-plane/blob/master/LICENSE,Apache License 2.0,,YES
envoyproxy/protoc-gen-validate,https://github.com/envoyproxy/protoc-gen-validate/blob/master/LICENSE,Apache License 2.0,,YES
evanphx/json-patch,https://github.com/evanphx/json-patch/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
fatih/color,https://github.com/fatih/color/blob/master/LICENSE.md,MIT License,,YES
fortytw2/leaktest,https://github.com/fortytw2/leaktest/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
franela/goblin,https://github.com/franela/goblin/blob/master/LICENSE,MIT License,,YES
franela/goreq,https://github.com/franela/goreq/blob/master/LICENSE,MIT License,,YES
fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
ghodss/yaml,https://github.com/ghodss/yaml/blob/master/LICENSE,MIT License,,YES
globalsign/mgo,https://github.com/globalsign/mgo/blob/master/LICENSE,BSD 2-Clause "Simplified" License,,YES
go-gl/glfw,https://github.com/go-gl/glfw/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
go-kit/kit,https://github.com/go-kit/kit/blob/master/LICENSE,MIT License,,YES
go-logfmt/logfmt,https://github.com/go-logfmt/logfmt/blob/master/LICENSE,MIT License,,YES
go-logr/logr,https://github.com/go-logr/logr/blob/master/LICENSE,Apache License 2.0,,YES
go-logr/zapr,https://github.com/go-logr/zapr/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/analysis,https://github.com/go-openapi/analysis/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/errors,https://github.com/go-openapi/errors/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/jsonreference,https://github.com/go-openapi/jsonreference/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/loads,https://github.com/go-openapi/loads/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/runtime,https://github.com/go-openapi/runtime/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/spec,https://github.com/go-openapi/spec/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/strfmt,https://github.com/go-openapi/strfmt/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/swag,https://github.com/go-openapi/swag/blob/master/LICENSE,Apache License 2.0,,YES
go-openapi/validate,https://github.com/go-openapi/validate/blob/master/LICENSE,Apache License 2.0,,YES
go-sql-driver/mysql,https://github.com/go-sql-driver/mysql/blob/master/LICENSE,Mozilla Public License 2.0,,YES
go-stack/stack,https://github.com/go-stack/stack/blob/master/LICENSE.md,MIT License,,YES
gogo/googleapis,https://github.com/gogo/googleapis/blob/master/LICENSE,Apache License 2.0,,YES
gogo/protobuf,https://github.com/gogo/protobuf/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
golang/glog,https://github.com/golang/glog/blob/master/LICENSE,Apache License 2.0,,YES
golang/groupcache,https://github.com/golang/groupcache/blob/master/LICENSE,Apache License 2.0,,YES
golang/mock,https://github.com/golang/mock/blob/master/LICENSE,Apache License 2.0,,YES
golang/protobuf,https://github.com/golang/protobuf/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
golang/snappy,https://github.com/golang/snappy/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
google/btree,https://github.com/google/btree/blob/master/LICENSE,Apache License 2.0,,YES
google/go-cmp,https://github.com/google/go-cmp/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
google/gofuzz,https://github.com/google/gofuzz/blob/master/LICENSE,Apache License 2.0,,YES
google/martian,https://github.com/google/martian/blob/master/LICENSE,Apache License 2.0,,YES
google/pprof,https://github.com/google/pprof/blob/master/LICENSE,Apache License 2.0,,YES
google/renameio,https://github.com/google/renameio/blob/master/LICENSE,Apache License 2.0,,YES
google/uuid,https://github.com/google/uuid/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
googleapis/gax-go,https://github.com/googleapis/gax-go/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
googleapis/gnostic,https://github.com/googleapis/gnostic/blob/master/LICENSE,Apache License 2.0,,YES
gophercloud/gophercloud,https://github.com/gophercloud/gophercloud/blob/master/LICENSE,Apache License 2.0,,YES
gopherjs/gopherjs,https://github.com/gopherjs/gopherjs/blob/master/LICENSE,BSD 2-Clause "Simplified" License,,YES
gorilla/context,https://github.com/gorilla/context/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
gorilla/mux,https://github.com/gorilla/mux/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
gorilla/websocket,https://github.com/gorilla/websocket/blob/master/LICENSE,BSD 2-Clause "Simplified" License,,YES
gregjones/httpcache,https://github.com/gregjones/httpcache/blob/master/LICENSE.txt,MIT License,,YES
grpc-ecosystem/go-grpc-middleware,https://github.com/grpc-ecosystem/go-grpc-middleware/blob/master/LICENSE,Apache License 2.0,,YES
grpc-ecosystem/go-grpc-prometheus,https://github.com/grpc-ecosystem/go-grpc-prometheus/blob/master/LICENSE,Apache License 2.0,,YES
grpc-ecosystem/grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway/blob/master/LICENSE.txt,BSD 3-Clause "New" or "Revised" License,,YES
hashicorp/consul,https://github.com/hashicorp/consul/blob/master/LICENSE,Mozilla Public License 2.0,,YES
hashicorp/errwrap,https://github.com/hashicorp/errwrap/blob/master/LICENSE,Mozilla Public License 2.0,,YES
hashicorp/go-cleanhttp,https://github.com/hashicorp/go-cleanhttp/blob/master/LICENSE,Mozilla Public License 2.0,,YES
hashicorp/go-immutable-radix,https://github.com/hashicorp/go-immutable-radix/blob/master/LICENSE,Mozilla Public License 2.0,,YES
hashicorp/go-msgpack,https://github.com/hashicorp/go-msgpack/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
hashicorp/go-multierror,https://github.com/hashicorp/go-multierror/blob/master/LICENSE,Mozilla Public License 2.0,,YES
hashicorp/go-rootcerts,https://github.com/hashicorp/go-rootcerts/blob/master/LICENSE,Mozilla Public License 2.0,,YES
